user_id	playtime_forever	playtime_2weeks	appid
	1016		319630
	66		242680
	808		339800
	1211		346110
	0		407530
	82		266510
	0		350640
	6		291650
	0		7670
	0		8850
	0		8870
	0		409710
	0		409720
	0		235540
	0		232090
	0		232150
	7		365450
	0		366320
	9		367520
	594		322330
	137		291550
	0		2400
	0		2420
	0		2430
	30		383790
	478		383870
	0		252950
	2		386360
	1372		290340
	547		317820
	175		352460
	2	2	394690
	166		397390
	3		397460
	225		402710
	0		423230
	7	7	428550
	478		431240
	524		433850
	0		439700
	839		268500
	773		438740
	562		437220
	574		453340
	167		394230
	0		207140
	0		48000
	0		491950
	49	49	498240
	0		499520
	0		273350
	1432	88	385760
	0		504370
	7921	528	578080
	222		579950
	0		489520
	378		218620
	0		230190
	192		554620
	1478	1118	435150
7.65612E+16	1		240
	196		4000
	40		7940
	7096		10090
	3		10180
	344		10190
	113		500
	64		550
	0		223530
	9		8980
	1408		42700
	737		42710
	98		105600
	20		42680
	1019		42690
	38		213610
	18		214510
	13		224960
	0		102700
	0		218230
	66		230410
	2		223710
	38		242760
	224		209000
	0		209160
	67		209170
	146		49520
	0		266150
	0		267920
	0		267940
	91		203160
	1		273110
	5		282440
	0		283330
	0		283350
	0		283410
	482		287700
	30		290140
	309		295110
	1		362300
	505		433850
	0		439700
	6		298240
	4		302830
	3		304930
	181		268420
	1		202970
	2449		202990
	3654		212910
	106		268050
	0		209650
	22		209660
	584		239140
	30		238320
	0		223650
	6		211420
	1085		730
	8		204300
	36		42910
	0		202090
	0		91200
	0		209540
	2		218620
	411		43160
	34		346110
	0		407530
	0		346900
	23		7670
	216		8850
	0		8870
	135		409710
	0		409720
	21		261640
	0		366844
	21		369200
	374		376870
	1400		352460
	10788		311210
	33		455130
	4		314000
	322		391220
	119		437220
	0		310380
	0		379720
	1074		499520
7.65612E+16	476		220
	21		340
	18214		240
	29200		4000
	1468		1250
	0		35420
	257		10180
	11143		10190
	2172		550
	0		223530
	1065		8190
	2397		12220
	1438		33220
	882		50130
	13		33910
	1114		33930
	0		219540
	150		22380
	528		31280
	532		42910
	300		620
	636		105600
	655		44320
	0		321040
	543		21100
	176		33460
	179		7940
	452		42680
	9025		42690
	2720		91310
	1775		113200
	2208		72850
	285		41070
	0		564310
	0		11450
	0		12710
	0		12810
	1126		104700
	39		207610
	300		104900
	903		212630
	71		211420
	343		201790
	94205		730
	238		208500
	381		204360
	463		200170
	0		205790
	1849		55230
	812		226700
	501		224540
	2981		113400
	91		39000
	63		265630
	407		220160
	41		225420
	272		233720
	17		222730
	794		242760
	1264		218620
	614		207140
	757		251570
	7734		252490
	307		252950
	367		220260
	796		265930
	109		247730
	54		274920
	0		275080
	110		222900
	47		296470
	807		238460
	298		299740
	408		304930
	51		224600
	337		313120
	192		323850
	179		274940
	18		335330
	8118		250900
	482		273350
	347		2400
	0		2420
	0		2430
	0		500
	147		346010
	255		363970
	16		380600
	180		352460
	209	26	431240
	6239		433850
	0		439700
	866		437220
7.65612E+16	8		3830
	358		240
	24569	1125	4000
	3		6900
	38		6850
	0		6860
	436		7670
	0		409710
	1015		7940
	215		12120
	0		12250
	0		12140
	0		12150
	15		15100
	883		22300
	2464		10090
	35		12210
	231		17410
	312		550
	0		223530
	5		41700
	0		33230
	369		24960
	521		35140
	9		33910
	190		33930
	0		219540
	0		50130
	31		57300
	2017		42700
	5044		42710
	331		22380
	0		70000
	295		105600
	295		42680
	684		42690
	34		113200
	0		201870
	377		55230
	0		205790
	1014		110800
	338		207610
	10		104900
	0		204100
	0		1250
	0		35420
	2		209080
	135		49520
	92099	1	730
	530		200260
	4		204360
	322		205100
	292		219640
	0		208480
	0		4500
	12		213610
	416		203140
	0		205930
	55		47410
	745		109600
	61		113400
	31		200210
	0		203290
	0		206210
	0		208090
	0		212500
	159		212800
	400		218230
	96		230410
	0		236390
	1997		209870
	84		223710
	17		262410
	0		265630
	112		224260
	0		239220
	0		253710
	239		8870
	21		233720
	139		72850
	51		224540
	47		10
	0		20
	6		30
	1		40
	0		50
	1		60
	1		70
	3		80
	1		100
	0		130
	1		220
	0		280
	0		300
	1		320
	0		340
	0		360
	0		380
	148		400
	0		420
	0		500
	1558		620
	1272		207140
	0		368730
	0		239350
	153		218620
	33		209000
	558		238320
	0		233840
	271		239200
	0		206420
	198		250620
	0		252330
	3160	2365	252490
	25245	1	252950
	1438		8930
	0		200510
	5960		107410
	0		247430
	0		22120
	0		22140
	0		22180
	0		221910
	0		261030
	1		263760
	0		242700
	6		265930
	0		248490
	3661		221100
	2		270450
	0		260210
	9		273110
	0		222880
	105		278360
	165		239160
	0		286690
	0		287390
	2		289090
	31		270550
	15		293180
	0		20510
	20		298260
	55		237930
	829		299740
	19		301520
	0		34830
	5		34870
	0		271500
	1441		304050
	4094		304930
	0		306830
	264		13520
	6		19900
	172		220240
	0		233270
	0		280740
	466		291480
	29		227940
	210		313740
	52		4760
	133		317360
	0		258160
	0		318100
	0		261640
	88		319510
	1		6880
	2		8190
	1		7000
	1		8000
	0		8140
	1		35130
	886		203160
	19		224960
	1		224980
	1		225000
	1		225020
	7		225300
	7		225320
	0		312150
	0		323370
	0		302510
	953		307690
	0		327680
	141		274940
	72		305620
	1		332800
	11		215470
	65		333930
	0		244770
	0		339610
	56		339800
	267		342380
	72		344760
	92		346110
	0		407530
	121		307780
	0		241930
	98		307880
	52		355180
	0		8850
	0		409720
	235		363970
	2355		365590
	0		524440
	158		375200
	0		375680
	0		380600
	127		383080
	499		386360
	955		291550
	102		352460
	0		397570
	0		414070
	0		428740
	615		431240
	17985		433850
	0		439700
	0		434010
	735		444090
	0		596350
	21		295110
	0		362300
	0		448660
	74		375600
	0		467090
	0		473520
	0		477980
	6		491170
	1		479130
	68		273350
	126		489830
	102		555570
	569	36	578080
	0		585550
	312		665360
7.65612E+16	681		10090
	0		1250
	0		35420
	0		3830
	0		207610
	1		230410
	16		239220
	1097		252950
	0		233130
	0		255520
	996		295110
	1		362300
	35882		433850
	0		439700
	0		205790
	0		238320
	0		15700
	1005		322330
	0		355840
	17		315880
	61539		381210
	14		291550
	77758		311210
	0		366844
	0		455130
	383		319630
	152		530620
	165		403640
	1782		447040
	0		218620
7.65612E+16	7784		240
	77		550
	0		223530
	15		33910
	18739		33930
	23		219540
	8130		8930
	6262		105600
	308		42680
	674		42690
	0		57400
	0		200260
	149		203850
	258		91310
	304		42160
	9		206980
	27107		730
	1177		200710
	0		205790
	145		219640
	2217		208480
	101		218680
	74		113400
	24		200210
	19877		218230
	2978		230410
	135		236390
	36		238960
	380		243870
	75		223390
	95		203160
	6554		252490
	389		252950
	142370		107410
	11		94400
	387		108600
	0		227300
	49441		221100
	946		268850
	734		222880
	361		286160
	1910		295110
	0		362300
	0		433850
	0		439700
	8		298240
	346		299740
	286		214190
	413		302250
	2870		304930
	1077		227940
	1033		314410
	960		332500
	87		333930
	4987		365590
	0		524440
	509		292030
	563		377160
	258		352460
	215		239140
	242		384490
	346		437220
	57		273350
7.65612E+16	529		4000
	722		22330
	3659		550
	0		223530
	95		620
	55		105600
	10		215670
	1287		49520
	81657		730
	146		11020
	996		218230
	401		223710
	1885		72850
	79		214950
	0		247020
	18127		221680
	504		218620
	0		211820
	0		367540
	1820		271590
	130		277430
	1092		295110
	0		362300
	0		433850
	0		439700
	43		222900
	149		304930
	2		317280
	472		261640
	1		209650
	233		209660
	144		2400
	0		2420
	1		2430
	6		359580
	31		385710
	118		352460
	3172		413150
	180		239140
	641		434730
	120		435060
	2471		440900
	0		489830
7.65612E+16	0		10
	0		20
	0		30
	0		40
	0		50
	0		60
	0		70
	0		130
	0		220
	0		240
	0		320
	0		340
	0		13520
	0		19900
	3389		20900
	70		17460
	0		29650
	80		32370
	344		8980
	3426		17450
	440		41500
	13		22370
	0		47730
	0		24980
	0		550
	0		223530
	0		39120
	123		47900
	231		22350
	1627		20920
	0		72850
	0		22380
	0		207610
	9		108710
	0		202750
	1077		730
	0		208580
	189		200710
	686		205100
	756		219640
	0		220240
	0		212500
	105		218230
	927		238960
	702		203160
	562		234650
	0		242760
	0		252950
	138		107410
	332		242050
	63		219990
	0		261030
	95		261760
	802		264710
	0		211820
	0		367540
	1505		221100
	52		270450
	0		200510
	0		286160
	0		288160
	0		233290
	124		256290
	6		300550
	0		286690
	0		287390
	3		303800
	0		243470
	0		38400
	0		38410
	36		306760
	64		227700
	0		240760
	0		259130
	0		404730
	27		313630
	0		6910
	0		6920
	1545		238010
	0		258180
	6		323370
	11		241930
	0		211420
	161		330830
	0		298110
	10		282070
	0		335300
	0		319630
	925		295110
	0		362300
	0		433850
	0		439700
	0		500
	5445		273350
	12		346940
	502		262060
	0		266510
	51		291650
	16		329430
	0		201810
	0		350080
	0		255710
	0		7670
	0		8850
	0		8870
	0		409710
	0		409720
	0		268050
	19840	2	292030
	0		230230
	111		373420
	50		374320
	3718		359320
	4717		377160
	386		236870
	8035		365590
	0		524440
	63		381210
	13		352460
	5		393420
	0		445900
	75		396750
	0		234140
	436		393380
	160		403640
	137		410340
	0		413150
	566		391220
	0		268500
	207		359550
	0		623990
	617		239140
	708	417	435150
	170		383870
	0		4720
	0		34270
	0		203750
	0		99300
	0		211160
	0		371660
	528		364360
	33	33	451020
	221		275850
	3		281990
	5		466500
	0		480490
	0		50130
	1241		447040
	2749		304390
	0		654310
	169		460930
	467		498240
	1471		360430
	2416		337000
	23		362960
	3		489830
	60		493340
	0		579950
	0		584210
	162	162	594570
	0		675260
7.65612E+16	5332		240
	0		300
	0		320
	0		340
	80		10180
	70151		10190
	128		550
	0		223530
	0		205790
	40036		730
	0		200170
	6		217200
	5463		218620
	8568		252950
	280		221100
	0		273110
	16		274190
	14075		295110
	1		362300
	4375		433850
	0		439700
	171		323850
	300		352460
	2024		311210
	0		455130
	292		431240
	152		365590
	0		524440
7.65612E+16	6924		4000
	178		8190
	5475		230410
	142		223710
	29635	123	271590
	0		286940
	8		304050
	2709		304930
	0		224600
	11		227940
	0		205790
	698		323850
	66125	152	730
	2524		218620
	0		333930
	216		352460
	672	26	225540
	105		431960
	6391		381210
	47		273350
	0		509240
	769		438740
	917	108	571740
	3027	865	578080
7.65612E+16	1222		10
	1		30
	0		40
	0		60
	0		80
	57		100
	8418		240
	269		300
	20		320
	0		340
	1735		4000
	2947	21	9450
	309		13210
	51		15370
	51		10500
	1918	18	15620
	5		33910
	19		20500
	1028		10680
	45		20570
	3712		8930
	3041		34330
	6264	8	56400
	161		42910
	27		620
	2677	56	105600
	0		19200
	2162		55150
	1183		32800
	29		113200
	9318		72850
	36		42680
	95		42690
	232	44	201790
	101067	894	730
	14		49520
	6968		217490
	529		200510
	612		202970
	59		202990
	278		212910
	0		215790
	244		204360
	133		205790
	1150		219640
	872		49540
	0		17080
	0		109600
	410		200210
	532		208090
	81		212070
	3924	1	236390
	1363		238960
	16		39000
	154		223710
	377		248570
	0		265630
	12		42160
	174		202090
	448		224260
	328		239220
	13		224580
	713		224540
	35		220240
	1152		207140
	0		368730
	267		218620
	9608	1	252490
	0		253980
	84		238430
	9		262280
	487		211820
	0		367540
	34		269210
	9		236510
	4136		271590
	30		273110
	194		225840
	4573		48700
	316		282440
