steam_appid,name,type,initial_price,release_date,score,recommendation,windows,mac,linux,header_image
3530,Amazing Adventures Around the World,game,4.99,4/15/09 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3530/header.jpg?t=1447351774
3540,Peggle‰ã¢ Nights,game,4.99,10/15/08 00:00,76,286,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/3540/header.jpg?t=1447351487
3560,Bejeweled Twist,game,4.99,11/18/08 00:00,78,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3560/header.jpg?t=1447351528
3570,Mystery P.I.‰ã¢ - The New York Fortune,game,4.99,1/28/09 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3570/header.jpg?t=1447351648
3580,The Wizard's Pen‰ã¢,game,4.99,2/18/09 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3580/header.jpg?t=1447351685
3590,Plants vs. Zombies GOTY Edition,game,4.99,5/5/09 00:00,87,8641,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/3590/header.jpg?t=1447351772
3600,Escape Rosecliff Island,game,4.99,4/15/09 00:00,,134,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/3600/header.jpg?t=1447351775
3610,Mystery P.I. - Lost in Los Angeles,game,4.99,7/27/09 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3610/header.jpg?t=1447352362
3620,Zuma's Revenge!,game,4.99,9/15/09 00:00,78,262,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3620/header.jpg?t=1447352467
3700,Sniper Elite,game,9.99,7/16/09 00:00,76,1013,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3700/header.jpg?t=1478602543
3710,Judge Dredd: Dredd vs. Death,game,7.99,3/26/09 00:00,55,465,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3710/header.jpg?t=1478600057
3720,Evil Genius,game,9.99,6/22/09 00:00,75,1476,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3720/header.jpg?t=1478599968
3730,Aliens versus Predator Classic 2000,game,4.99,1/15/10 00:00,,1236,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3730/header.jpg?t=1478599494
3800,Advent Rising,game,9.99,9/14/06 00:00,70,267,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3800/header.jpg?t=1447350908
3810,BloodRayne,game,9.99,9/14/06 00:00,65,369,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3810/header.jpg?t=1464633119
3820,BloodRayne 2,game,9.99,9/14/06 00:00,67,277,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3820/header.jpg?t=1464633310
3830,Psychonauts,game,9.99,10/11/06 00:00,87,6033,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/3830/header.jpg?t=1489611408
3900,Sid Meier's Civilizationå¨ IV,game,19.99,10/25/06 00:00,94,1118,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/3900/header.jpg?t=1447366360
3910,Sid Meier's Civilizationå¨ III Complete,game,4.99,10/25/06 00:00,90,1643,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3910/header.jpg?t=1447350926
3920,Sid Meier's Pirates!,game,9.99,7/11/05 00:00,88,2083,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3920/header.jpg?t=1447350927
3960,Shattered Union,game,4.99,10/25/06 00:00,67,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3960/header.jpg?t=1447350927
