steam_appid,name,type,initial_price,release_date,score,recommendation,windows,mac,linux,header_image
442890,Magic Potion Explorer,game,9.99,2016-03-11 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/442890/header.jpg?t=1457691734
443330,Malus Code,game,12.99,2016-05-06 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/443330/header.jpg?t=1476864574
443370,The Treasures of Montezuma 5,game,6.99,2016-03-10 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/443370/header.jpg?t=1505975087
443460,Star Sky 2 - ブルームーン 2,game,2.99,2016-03-02 00:00:00,,,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/443460/header.jpg?t=1496128216
443630,Chicku,game,4.99,2016-05-05 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/443630/header.jpg?t=1462457678
443680,Revenge of Roger Rouge,game,0.99,2016-04-22 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/443680/header.jpg?t=1461342099
443970,S2ENGINE HD,game,19.99,2016-04-08 00:00:00,,116.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/443970/header.jpg?t=1495284993
444170,Unhack 2,game,6.99,2017-01-12 00:00:00,,,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/444170/header.jpg?t=1494730408
444200,World of Tanks Blitz,game,0.0,2016-11-09 00:00:00,,8811.0,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/444200/header.jpg?t=1507542739
444260,Mindless Running,game,1.99,2016-02-18 00:00:00,,331.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/444260/header.jpg?t=1493570649
444280,Alice's Patchwork,game,4.99,2016-03-03 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/444280/header.jpg?t=1470991543
444410,Find Out,game,0.99,2016-02-16 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/444410/header.jpg?t=1478025030
